id,nama,email,no_hp,tanggal_daftar,status
1,Ana Damanik,yoga98@gmail.com,(002) 186-9751,2025-05-05,inactive
2,Eja Waluyo,wardi64@yahoo.com,(028) 970 6891,2024-10-28,aktive
3,Mursita Manullang,vprasetya@pt.id,(0227) 298 0605,25-10-25,aktive
4,Ida Mardhiyah,samosirjatmiko@cv.web.id,+62-0486-046-9030,12/12/2023,inactive
5,drg. Shakila Usamah,mulyaniwahyu@pt.ponpes.id,+62 (262) 256-9698,2024-03-06,aktive
"6,""Unggul Andriani, M.Ak"",lnainggolan@perum.ac.id,+62 (063) 338-1203,20/03/2025,inactive"
7,Jamalia Hartati,jabalsalahudin@pt.org,+62-0672-714-1803,27/07/2025,active
8,Ratna Halimah,qdongoran@pt.go.id,0802959464,2025-02-05,banned
9,Cahyono Santoso,umay47@cv.go.id,+62 (0812) 543-7839,06/09/2024,inactive
"10,""dr. Luluh Nasyidah, M.Ak"",uwaisparamita@perum.ponpes.id,+62 (67) 810 6663,20-02-26,aktive"
11,Sutan Limar Puspita,candrapratiwi@hotmail.com,+62 (0223) 174 4162,06/10/2024,banned
12,Budi Maheswara,halimsihombing@ud.id,+62 (35) 778-5288,2025-09-05,aktive
13,Ir. Vera Nasyiah,puji58@yahoo.com,0823375079,2025-09-22,active
"14,""Ir. Asirwada Mandala, M.TI."",megantaradarmanto@perum.net,+62-337-318-6879,24/06/2023,Active"
15,Bakijan Prayoga,kartikanuraini@hotmail.com,+62 (145) 299-0932,29/03/2025,banned
"16,""Ir. Harjo Namaga, S.I.Kom"",nugrohojefri@gmail.com,+62 (053) 192-6573,30-12-24,aktive"
17,Olga Aryani,harjaanggraini@hotmail.com,+62 (195) 501 3995,2026-01-05,inactive
18,Tgk. Anggabaya Gunawan,entengwijaya@ud.ac.id,(0677) 929 0057,07/11/2025,Active
19,Marsudi Rajata,wardisaragih@perum.mil,+62-072-693-4834,13/06/2025,Active
20,Lidya Melani,imamnurdiyanti@gmail.com,(0217) 112 4341,29/09/2023,inactive
21,Farhunnisa Pranowo,baktiantopermadi@gmail.com,+62 (0613) 815 1344,10/11/2023,Active
22,Kusuma Prasetya,opadmasari@pt.co.id,(0096) 301-3333,2025-10-08,aktive
23,Rahmat Narpati,ytampubolon@yahoo.com,+62 (80) 451 1480,05/05/2024,banned
"24,""Ir. Indra Nasyidah, M.Pd"",gpertiwi@pt.ponpes.id,+62 (037) 841 2377,2023-05-29,aktive"
25,Zizi Januar,unasyidah@hotmail.com,(078) 065 4287,04-06-24,inactive
"26,""Eva Nasyiah, S.Ked"",nastuti@hotmail.com,+62 (79) 910 4817,2023-02-27,Active"
27,Yance Sihotang,kasimharyanti@gmail.com,+62-0051-220-2358,14-07-24,active
28,Padmi Marbun,lukitanurdiyanti@gmail.com,+62 (320) 889 9241,13-01-25,active
29,Bagiya Saefullah,yuliantigamani@cv.com,+62 (053) 898-2640,2023-11-23,banned
"30,""Estiono Maheswara, S.E."",latifsihombing@perum.mil.id,+62 (0276) 764 2315,2024-01-03,inactive"
31,Ghaliyati Gunarto,eutama@hotmail.com,+62 (043) 183 1495,11-04-25,active
